,tweet,still_exists,in_english,sarcasm,additional_comments,antisemitism_rating,disagree_with,sentiment_rating,calling_out,is_about_the_holocaust,ihra_section
0,Palestinian Media Outlet Explains a Way to Blame Coronavirus on Israeli Jews https://t.co/FxaRiegnVW,True,True,False,No comments.,1,False,3,True,False,13
1,💛 Share This: #lol The Australian dream of kikes arguably is evidence of the format of parliament :) Fad :) 🚂 6⃣ 🆖 🍍 🚇 🚝 ⚓ 👅 🙇 🍂 🔄 👺,True,True,False,"bot and gibberish but the most likely interpretation that makes sense here is that ""kike"" is used as a slur",4,False,2,False,False,0
2,💢 FYI #TIL The limit of kikes arguably should have been (((THEM))) :) Sad ? 😾 🙆 🍐 👥 2⃣ 🗿 ✊ ☔ 💏 😹 🌑 🙉,True,True,False,"bot and gibberish but the most likely interpretation that makes sense here is that ""kike"" is used as a slur",4,False,2,False,False,0
3,Lithuania Drafts Law That Would Make It Impossible For Jews To Sue For ‘Holocaust’ Reparations https://t.co/xvWYT1ONSF,False,True,False,No comments.,3,False,3,False,False,13
4,"@TheDruzeFRA_BEY @MENA_WATCH MENA Watch ist ja auch von Zionazisunterwandert,wie auch bei Wikipedia oder Psiram,die den Holocaust &amp; Juden mißbrauchen &amp; uns unbedingt in ihren Krieg gg ihren Erbfeind Iran zusammen mit ihren Saudidespoten hetzen wollen #Epstein🇩🇪😎🇻🇪#FreeAssange 
https://t.co/48owUiAeE2 #KenFm",True,False,False,No comments.,5,False,1,False,False,10
5,"As armed white supremacist protestors waving confederate flags and signs declaring Jews to be the “real plague” gather all over the country to defend their “right” to spread a deadly virus, Mayor De Blasio thought it was appropriate to scapegoat our Jewish neighbors.",True,True,False,No comments.,1,False,3,True,False,13
6,"You are not ‘The Jewish Community.” 
You represent 30% of British Jews.
You are only part of a diverse community with varying views on Labour and what constitutes antisemitism. https://t.co/uykVChvQ1r",True,True,False,No comments.,1,False,3,False,False,13
7,"@MuhammadSmiry @Ranashubair ZioNazi are ghouls, Lucifer's spawn, not Human beings. They should be completely deleted from existence #BDS",True,True,False,3.1.1 if Zionazi is understood as a codeword for Jews,5,False,1,False,False,10
8,@iris4ever2 @AmyMek Why don't you tell the goy that your holy books spreads hate against ALL non kikes. You are one in the same with them mongrels.,True,True,False,1.0 and 3.1.2,5,False,1,False,False,2
9,"My definition of the Church in a nutshell: ""The Church is the messianic/New covenant community of Jews and Gentiles in this age between Acts 2 and the Rapture who have explicitly believed in Jesus the Messiah and have received the New Covenant ministry of the Holy Spirit.""",True,True,False,supersessionism? (1.0 contempt),2,False,2,False,False,13
